#{"t_start": 1753846520.0343614, "env_id": "None"}
r,l,t
978.02545,1962,1867.687566
2509.3386,3121,1882.596993
917.1696,1311,1883.262925
2701.4126,4000,1896.219452
507.86368,1285,1896.436794
1187.1545,1974,1896.893373
2056.548,2694,1897.052533
2279.7573,4000,1897.227872
852.815,1377,1909.799229
1109.0408,2160,1909.999534
759.8781,1358,1910.309169
1324.3712,2189,1910.74105
2542.4749,3587,1910.845931
1820.822,2640,1923.006159
1605.0935,3973,1923.329125
720.56415,1358,1924.883799
1768.0585,4000,1925.068169
2284.098,3546,1936.487484
1254.7947,2204,1936.62621
453.22238,1198,1936.682033
3140.5237,3982,1937.212492
1172.8004,1559,1937.552763
1362.0217,2614,1951.041767
729.30566,1550,1962.775741
1829.1138,3205,1963.188382
327.49408,508,1964.359385
980.5924,1925,1964.846281
620.72864,1479,1964.905072
1872.3348,3023,1977.158836
1284.058,3922,1977.258642
1649.69,2810,1977.812846
2603.188,3878,1978.087334
1799.3633,2413,1978.141164
951.62994,2490,1978.259781
1236.6621,1497,1989.86781
1439.0577,4000,1990.08528
2329.4297,4000,1990.524464
1634.1866,3199,2006.082475
2980.9993,4000,2006.144037
1167.615,1719,2006.457664
1359.9803,2040,2006.853939
886.0072,1672,2020.826226
2198.2732,3806,2020.871403
292.44165,493,2021.140122
703.1364,1638,2021.612976
1062.2505,2040,2021.887173
1697.1873,2751,2022.147306
696.6519,1144,2036.728813
1512.4889,2889,2051.912318
594.8818,1249,2051.957822
632.3402,4000,2065.991566
1202.0842,2275,2066.042226
2382.8926,3366,2066.178741
1840.3303,2776,2066.266037
1890.0792,3140,2066.68873
1527.1709,2088,2066.729854
2677.8743,3412,2067.64877
2687.2778,4000,2067.694213
1348.6102,2207,2080.566026
982.2218,1697,2081.139069
2869.87,3598,2093.756025
2636.288,3415,2093.97474
1061.7538,1915,2094.430544
1791.7567,3116,2094.580539
575.9112,943,2095.470711
913.2123,1362,2108.394258
2449.1265,4000,2109.575993
758.4166,1984,2109.657945
1207.5692,2245,2110.233099
722.7518,1106,2122.96155
1004.3158,2778,2123.58196
687.5552,2744,2123.641263
882.8386,1328,2137.003236
1972.505,3131,2137.574463
1006.57385,1349,2137.783099
887.6826,1929,2137.881114
2136.6582,3284,2138.124871
